Judet,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
AB,1426022767.0,404955702.0,3749416915.0,17056044.0,145210335.0,856776187.0,13967917.0,210749628.0,296201076.0
AG,1548084678.0,243280105.0,403465557.0,176140687.0,176564958.0,23044786532.0,448681704.0,1549425135.0,93836651.0
AR,431516418.0,1420608808.0,266604366.0,3554930.0,261652422.0,5736676356.0,569390415.0,532985362.0,210328060.0
B,10446058999.0,1610085188.0,2390905256.0,2304239720.0,788653966.0,2582981859.0,1046178372.0,475253632.0,36169876202.0
BC,1159026222.0,485243441.0,599523835.0,295207808.0,680737.0,398069049.0,69299364.0,111057410.0,66550859.0
BH,1602828489.0,1693337343.0,337489647.0,69124142.0,60403332.0,342565410.0,1335115136.0,621681642.0,405982494.0
BN,498007273.0,601157271.0,349768988.0,1563093.0,218107717.0,1469908553.0,2996526.0,28584274.0,15395884.0
BR,347992729.0,231149554.0,26663048.0,106525000.0,35272075.0,431443037.0,434494.0,28816905.0,38991016.0
BT,500883949.0,873943716.0,40853695.0,1347609.0,1099600.0,22283327.0,181787110.0,44829073.0,43727822.0
BV,944468736.0,741443896.0,1464712783.0,823336180.0,373321619.0,7172876455.0,445413556.0,73719193.0,1143300549.0
BZ,2651124821.0,463084958.0,119303759.0,347832243.0,514776973.0,413603710.0,616543.0,96132453.0,233122472.0
CJ,1531609300.0,521734395.0,920812872.0,897453839.0,229199872.0,875389601.0,39363504.0,702530288.0,1001982895.0
CL,415457701.0,123245529.0,316153630.0,43220919.0,343898103.0,136132003.0,135626.0,4401181.0,8017298.0
CS,464263899.0,115773607.0,210558120.0,848705.0,553440343.0,803891252.0,10061898.0,20663099.0,39826076.0
CT,840291898.0,132866668.0,85534087.0,267793394.0,140791940.0,1258949435.0,27017916.0,45346899.0,1077694666.0
CV,723141812.0,470316092.0,305499295.0,2326388.0,1062777.0,67788367.0,1006313.0,33325262.0,2906861.0
DB,303812857.0,403909590.0,195714732.0,125239392.0,1270427260.0,124124170.0,5324301.0,71317677.0,4245612.0
DJ,274595165.0,352571966.0,83179283.0,27834930.0,1576867.0,4509649952.0,10189552.0,70697279.0,2249568203.0
GJ,212592935.0,46442453.0,96951590.0,1247149.0,0.0,39480068.0,3233302.0,13280488.0,2581270498.0
GL,1192528296.0,67809020.0,87881842.0,12138825.0,3962788104.0,663055289.0,2796533.0,106615800.0,254524290.0
GR,160922058.0,106369300.0,27341944.0,14789665.0,5210741.0,74848834.0,7051585.0,20422279.0,73682046.0
HD,260525833.0,357457754.0,154794035.0,47716062.0,590297884.0,312796266.0,25981782.0,148477429.0,694202979.0
HR,1095844351.0,425374744.0,670620739.0,6415082.0,30771036.0,64274200.0,1275146.0,232850733.0,196378714.0
IF,5532752733.0,341769929.0,415353454.0,582011218.0,84091927.0,787345331.0,22642333.0,253822199.0,270221826.0
IL,1477750949.0,318204227.0,10713452.0,69618109.0,189655.0,8861205.0,11010125.0,23233624.0,25758468.0
IS,884267917.0,565940709.0,222439198.0,503056265.0,574083023.0,2115992074.0,156551585.0,66653703.0,343224418.0
MH,70774562.0,15458151.0,71080553.0,225989143.0,350260.0,110494140.0,0.0,2823126.0,8638679.0
MM,609543776.0,192473867.0,905131397.0,60340028.0,175925735.0,133042974.0,58398580.0,1709405431.0,14693170.0
MS,1162939168.0,523743415.0,793466843.0,2381980328.0,141184800.0,461336933.0,18400696.0,428524005.0,5525925600.0
NT,293041223.0,733555504.0,615826888.0,251939587.0,656536295.0,140012819.0,628457.0,111292217.0,47891365.0
OT,301202212.0,341008441.0,26527584.0,28273677.0,3458312014.0,195468993.0,0.0,14485029.0,-356334.0
PH,2055964332.0,569016348.0,342812853.0,406667888.0,31148779.0,3421630739.0,130935817.0,195871013.0,1216389015.0
SB,1083019110.0,1107468131.0,345148708.0,180199638.0,48580132.0,5048657664.0,462812986.0,64743319.0,67379997.0
SJ,142972439.0,195289590.0,48890012.0,64591884.0,2047741169.0,49719226.0,140840358.0,218040465.0,90833497.0
SM,2018617136.0,257105624.0,92847918.0,3691755.0,31569828.0,461519924.0,2148554.0,625511733.0,29326052.0
SV,972404296.0,241081848.0,2296398085.0,293560155.0,1325989.0,98827311.0,5135489.0,92128836.0,116299803.0
TL,216336664.0,163317189.0,7677654.0,1502436.0,562508783.0,693240347.0,2453985.0,19558379.0,43438897.0
TM,1775835425.0,1790439096.0,535468964.0,1045588241.0,234917015.0,9624105469.0,1661845435.0,319874606.0,823553885.0
TR,219444677.0,131095661.0,24577877.0,393525366.0,8120725.0,304738226.0,206443.0,15603380.0,64512649.0
VL,1280659770.0,180578512.0,307020426.0,1016281686.0,3701124.0,203023128.0,744290.0,46706746.0,433604706.0
VN,249693099.0,641439043.0,377885774.0,1269057.0,0.0,10717355.0,3979555.0,31720952.0,53836313.0
VS,622397964.0,286065220.0,23499115.0,129138.0,0.0,241093014.0,14902045.0,47610001.0,45943744.0
