CODE,Country,PIB Mediu
BE,Belgium,344422.97037037037
BG,Bulgaria,33765.04074074075
CZ,Czechia,133721.8074074074
DK,Denmark,231156.3037037037
DE,Germany (until 1990 former territory of the FRG),2596055.3333333335
EE,Estonia,14832.1
IE,Ireland,190341.65185185187
EL,Greece,177266.29629629632
ES,Spain,923783.7296296296
FR,France,1877465.7185185184
HR,Croatia,38743.62962962963
IT,Italy,1488151.1222222222
CY,Cyprus,16042.400000000001
LV,Latvia,17878.085185185184
LT,Lithuania,27184.999999999996
LU,Luxembourg,39181.79259259259
HU,Hungary,91675.22962962964
MT,Malta,7202.251851851853
NL,Netherlands,593867.6074074074
AT,Austria,285311.30000000005
PL,Poland,317990.9037037037
PT,Portugal,160939.22592592592
RO,Romania,114349.77037037036
SI,Slovenia,32822.56296296296
SK,Slovakia,55109.97037037038
FI,Finland,178617.68888888886
SE,Sweden,361551.87777777785
IS,Iceland,12884.459259259258
NO,Norway,276924.0888888889
CH,Switzerland,437387.3333333333
RS,Serbia,30733.440740740745
