CODE,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE,Belgium,220251.5,219965.3,223032.7,231015.7,242307.6,256376.4,264334.9,273255.9,281200.2,296819.7,310037.6,325151.5,343618.9,351743.1,346472.8,363140.1,375967.8,386174.7,392880,403003.3,416701.4,430085.3,445050.1,460050.8,478645,459826.3,502311.6
BG,Bulgaria,14512.8,9829.8,10064.7,13437.6,12804.4,14440,15905.3,17478.3,18798.3,21093.2,24039.9,27410,32464.7,37246.7,37417.7,38284.9,41478.9,42256.8,42050.2,43026,45812.3,48773.1,52531.3,56224.8,61558.5,61638.9,71077
CZ,Czechia,46008.4,53088.1,54857.3,59824.8,61082.9,67032.5,75705.2,87358.2,88659.5,96554.1,110321.7,124581.2,139002.1,162064.5,149586.5,157920.8,165202.2,162587.5,159461.5,157821.3,169558.2,177438.5,194132.9,210970.5,225613.5,215805.4,238249.5
DK,Denmark,141441.4,147843.4,153152.1,158146.4,166972.1,178018.1,184045.6,189794.9,193353.4,202422.2,212832.4,225531.3,233383.3,241613.5,231278,243165.4,247879.9,254578,258742.7,265757,273017.6,283109.7,294808.2,302328.7,309526.4,311759.7,336718.8
DE,Germany (until 1990 former territory of the FRG),1977604.1,1967956.2,1952617.8,2000815.9,2059480,2109090,2172540,2198120,2211570,2262520,2288310,2385080,2499550,2546490,2445730,2564400,2693560,2745310,2811350,2927430,3026180,3134740,3267160,3365450,3473260,3405430,3601750
EE,Estonia,2988.1,3770,4553.7,5067.5,5406.9,6171.6,6987.1,7822.6,8744.4,9777.5,11343.3,13568.9,16401.3,16618.1,14131.9,14741.1,16677.3,17916.7,18910.8,20048.2,20631.4,21747.9,23833.6,25932.2,27764.7,27465,31444.9
IE,Ireland,52881.3,59701.5,73118.8,80565.7,92790.5,108495.3,122089.2,135997.6,145576.4,156260.3,170306.8,184916.2,197069.4,187283,169519.7,167391.4,171703.2,175615.4,179457.6,195085.2,262975.9,270205.3,297763.2,326631.3,356704.6,372836.4,426283.4
EL,Greece,104662.1,114908.2,126353.8,129057.3,139945.1,142976,152193.8,163460.8,178904.9,193715.8,199242.3,217861.6,232694.6,241990.4,237534.2,224124,203308.2,188380.6,179884.4,177236,176368.9,174494.2,176903.4,179557.7,183351.2,165405.9,181674.6
ES,Spain,470155.7,506362.6,520831,553338.4,595723,647851,700993,749552,802266,859437,927357,1003823,1075539,1109541,1069323,1072709,1063763,1031104,1020677,1032608,1078092,1114420,1162492,1203859,1245513,1117989,1206842
FR,France,1224717.2,1265105.4,1282409.5,1343327.3,1400999,1478585,1538200,1587829,1630666,1704019,1765905,1848151,1941360,1992380,1936422,1995289,2058369,2088804,2117189,2149765,2198432,2234129,2297242,2363306,2437635,2310469,2500870
HR,Croatia,17524.7,19174.1,21277.6,22931.7,22183,23624.9,25931.7,28761.2,31025.7,33818,36845.2,40579.3,44335.5,48465.2,45586.2,45763.6,45549.9,44621.2,44437.1,43989.1,45257.9,47338.7,49985.9,52747.2,55644.4,50424.9,58254.1
IT,Italy,898299.3,1033759.7,1096302,1134534.9,1175149.5,1241512.9,1304136.8,1350258.9,1394693.2,1452319,1493635.3,1552686.8,1614839.8,1637699.4,1577255.9,1611279.4,1648755.8,1624358.7,1612751.3,1627405.6,1655355,1695786.8,1736592.8,1771391.2,1796648.5,1660621.4,1782050.4
CY,Cyprus,7596,7890.1,8414.3,9152.6,9839.7,10804.6,11602.9,12082.9,12871.3,13938,15039.3,16263.8,17591,19009.6,18675.5,19461.1,19858.1,19495.4,18040.3,17482.8,17944.2,19013.8,20312.4,21675.1,23176.2,21894.9,24018.9
LV,Latvia,4137.4,4703.6,5751.2,6402.4,7046.7,8632.3,9374.4,10168.7,10499.6,11724,13791.9,17363.1,22791.5,24531.5,18922,17937.5,19666,22097.5,22791.3,23625.8,24572.1,25371.3,26984.4,29153.6,30678.6,30294,33695.9
LT,Lithuania,5121.7,6601.8,8922.8,10025.7,10292.3,12475.7,13664.6,15153.3,16650.2,18219.4,20979.9,24053.3,29011.2,32660.1,26897,28033.8,31317.2,33410.2,35039.5,36581.3,37345.7,38889.9,42276.3,45515.2,48908.2,49769.6,56179.1
LU,Luxembourg,15946.2,16462.1,17266.5,18005.7,20547.8,22986,23879.9,25011.1,26227.3,28189.4,30281,34175,37641.9,40009.6,39050.7,42402.7,44323.5,46526.2,49094.5,51791.3,54142.3,56208.1,58168.8,60121.2,62373.6,64781,72295
HU,Hungary,35469.4,36758.4,41741.4,43408.6,46040.1,51238.5,60012.9,71756.1,75427.8,83883.3,91090.4,92126.7,102414.6,108345.4,94605.6,99771.6,102152,100247.6,102239.7,106263.8,112791,116255.7,127024.7,136054.6,146526.1,137826.5,153758.7
MT,Malta,2846.6,3010.6,3346.8,3581.8,3861,4412.4,4565.5,4740.9,4823.5,4910.4,5152.1,5403,5790.3,6206,6259.6,6815.8,6924.6,7364.5,7944.3,8751.1,9996.7,10541.1,11936.6,12951,14177.9,13164,14982.7
NL,Netherlands,346000.8,354929.1,367861.6,391460.9,419459,452007,481881,501137,512810,529286,550883,584546,619170,647198,624842,639187,650359,652966,660463,671560,690008,708337,738146,773987,813055,796530,856356
AT,Austria,184351.3,186968.1,187853.7,195011.9,203850.6,213606.5,220525.1,226735.2,231862.5,242348.3,254075,267824.5,283978,293761.9,288044,295896.6,310128.7,318653,323910.2,333146.1,344269.2,357608,369361.9,385274.1,397169.5,381042.5,406148.7
PL,Poland,108834.6,126200.8,140649.2,155011.6,159561.4,186737.9,212834.1,210560,192552.1,206126,246216.8,274501.7,313848.3,366040.5,317040.6,359067.8,377042.4,385389.4,388356.4,406412.5,429834.6,424735.3,465772.6,499004.1,532504.7,526147.2,574771.8
PT,Portugal,91015.8,96626.8,103306.6,110683.7,119603.3,128414.4,135775,142554.3,146067.9,152248.4,158552.7,166260.5,175483.4,179102.8,175416.4,179610.8,176096.2,168295.6,170492.3,173053.7,179713.2,186489.8,195947.2,205184.1,214374.6,200518.9,214470.7
RO,Romania,28589.8,29035.4,31450.5,37063.3,33726.8,40594.9,45143.6,48695.7,51108.5,60402,79223.9,97215.6,127632,146590.6,125213.9,128278.9,138520.7,139319.8,142928.9,150522.4,160287.8,167494.3,186399,206071.9,224178.6,220486.6,241268.4
SI,Slovenia,16340.4,16946.1,18320.7,19784.6,21227.5,21866.8,23249.1,24972.4,26247.5,27692,29122.3,31476.1,35073.5,37925.7,36254.9,36363.9,37058.6,36253.3,36454.3,37634.3,38852.6,40443.2,43011.3,45876.3,48533.1,47020.6,52208.1
SK,Slovakia,15322.9,17053.2,19331.1,20333.8,19516.1,22389.1,23909.8,26340.7,30119.1,34757.7,39403.4,45602,56339.3,66098.1,64095.5,68764.9,71785.8,73649.3,74492.8,76354.5,80126,81265.2,84669.9,89874.7,94437.5,93413.8,98523
FI,Finland,102643.6,104142.2,112033.4,119733.4,126916,136442,144628,148486,151749,158758,164687,172897,187072,194265,181747,188143,197998,201037,204321,206897,211385,217518,226301,233462,239858,238038,251520
SE,Sweden,204328.5,229771.3,236645.7,241468.1,257109.7,285150.3,270524.5,283627.1,296305.5,310182,315774.8,337317.2,358945.1,354881.1,314637.5,374695.2,412844.7,430037.1,441850.7,438833.9,455494.7,466266.5,480025.5,470673.1,476869.5,480556.4,537085
IS,Iceland,5441.5,5833.1,6672.3,7571,8418.2,9776.3,9177.3,9911.1,10118.1,11136.3,13568,13966.7,15827.4,11052.1,9419.1,10383.4,10934.3,11479.9,12132.9,13472.6,15795.3,18804.2,21917.7,22241.1,22172.6,19004.7,21653.2
NO,Norway,116241,128671.9,142336.6,137455.3,152395,186016.3,194660.8,208313.8,202928.2,213642.4,249342.9,276477.7,294414.5,318851,279533.4,325493.9,360552.4,399069.2,395856.8,378456.4,349756.7,335396.5,356288.5,372657.6,365130.5,322823.8,414187.3
CH,Switzerland,269928.4,268109.3,260234.9,271242.2,279613.7,302676.7,320183.3,328614.3,320540.7,325343.7,336400.1,352038.6,358607.9,387052.9,399363.6,452470.6,515770.5,534012.8,531729.1,548014.5,625532.7,621765.1,615776.3,614304.4,644443.2,648913.3,676775.2
RS,Serbia,26495.1,18591.6,23418,18612.2,19267.2,28502.4,14584.5,18165.8,19882,20995,22253.8,25930.7,31557.9,35712.5,32486.2,31545.8,35431.7,33679.3,36426.7,35467.5,35740.2,36779.3,39235.3,42892.2,46005.4,46815.3,53329.3
