Real,Prezis,Corect
Chinstrap,Chinstrap,True
Chinstrap,Chinstrap,True
Gentoo,Gentoo,True
Chinstrap,Chinstrap,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Chinstrap,Chinstrap,True
Gentoo,Gentoo,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Chinstrap,Adelie,False
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Chinstrap,Chinstrap,True
Gentoo,Gentoo,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Chinstrap,Chinstrap,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Adelie,Adelie,True
Gentoo,Gentoo,True
