County,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists
ab,281888,3345,11057,6411,9282,3031,485,55,1477,1712,816,94,249,16,307,169,14,0.0,296,464,131
ag,576592,771,81,3135,80,239,842,197,3,199,4001,91,21,5,1517,26,16,10.0,139,201,311
ar,298252,35609,9797,28922,4244,14698,4520,125,60,1021,235,63,3341,654,247,133,123,0.0,854,540,400
b,1587951,22149,1291,5050,4016,3345,4051,9037,103,1794,1895,1067,415,469,1779,351,1459,108.0,3813,3003,8067
bc,470560,96485,90,5480,146,603,2139,118,6,424,751,1549,19,29,172,22,49,3.0,144,131,200
bh,321312,48337,95237,37957,12166,21933,1819,218,260,1253,601,105,289,3,125,39,139,5.0,1387,885,484
bn,226666,3028,11661,20254,5262,2197,1545,51,48,1595,213,24,259,0,146,119,29,0.0,398,260,106
br,297750,799,17,870,99,459,663,222,0,131,40,1543,4,23,8,7,27,6.0,51,118,140
bt,374700,559,7,11193,41,1139,2351,44,0,573,1863,382,4,7,6,3,61,5.0,120,107,96
bv,439055,17789,11421,10719,3386,1675,2168,224,5046,2440,2352,306,10367,107,1862,1783,71,0.0,1331,1033,868
bz,423441,456,14,2010,51,187,2637,70,0,95,315,3,0,0,168,3,4,0.0,52,92,124
cj,473096,22562,73662,20973,23160,7124,3421,963,7074,5769,789,180,481,134,212,76,165,50.0,3157,1989,1826
cl,278121,279,8,2022,34,163,900,599,0,143,212,46,0,0,47,0,0,0.0,134,41,64
cs,226230,16709,929,8963,1789,10800,515,32,3,228,162,78,35,3927,108,39,31,0.0,385,197,149
ct,568094,3894,125,2596,247,1230,1429,43270,0,283,89,2804,29,231,139,17,29,23.0,275,126,440
cv,43499,73737,67789,4716,220,451,870,21,8673,1254,77,9,828,0,91,111,6,0.0,391,782,56
db,482016,801,52,7064,47,280,4180,121,0,161,2598,42,8,42,1696,20,0,0.0,168,107,196
dj,619298,610,21,1846,60,504,1473,291,0,385,603,64,17,106,117,12,23,0.0,119,89,162
gj,323217,667,45,2354,53,647,504,42,3,270,308,28,9,3,108,0,0,0.0,55,72,76
gl,486439,1463,73,7642,140,343,2257,185,0,213,362,724,0,29,49,9,66,19.0,141,174,420
gr,259259,358,19,502,34,427,1399,109,0,142,752,13,3,53,187,0,0,0.0,27,13,109
hd,337780,15353,7710,15372,3617,5527,966,108,504,2369,788,127,138,3,169,95,55,0.0,714,569,379
hr,37670,200663,36759,553,485,803,484,19,21009,1712,260,4,127,0,72,28,6,62.0,475,636,98
if,346204,6619,79,1413,204,631,849,1462,3,362,443,109,17,19,281,26,89,7.0,937,281,440
il,251184,140,16,3709,4,85,640,92,0,100,15,323,0,15,23,4,0,0.0,37,18,47
is,663513,35279,72,4571,183,898,2112,669,3,618,3766,3545,21,6,242,11,255,0.0,1640,437,875
mh,242609,1334,41,1729,60,1416,330,51,0,160,115,13,0,871,141,9,7,0.0,74,37,95
mm,357627,22743,16229,16537,21834,2078,3442,45,61,5948,802,470,106,62,86,12,59,0.0,891,612,313
ms,281113,48518,138123,9350,11048,1839,8966,144,12167,6965,1045,79,687,92,832,480,69,12.0,1258,2172,425
nt,391722,45317,25,1576,122,344,1318,69,3,176,591,4000,4,98,28,10,59,0.0,1079,35,87
ot,407159,151,17,388,44,348,985,50,0,191,94,0,0,0,52,0,3,0.0,44,78,25
ph,711117,1777,106,5372,313,892,4518,356,16,267,3675,64,36,35,1483,124,33,0.0,116,441,522
sb,333556,4967,5777,4916,7589,3101,1512,94,621,923,2431,131,1917,7,1384,1234,21,12.0,491,408,394
sj,138032,5323,42117,10358,5713,8283,780,21,34,1829,747,22,6,10,175,11,0,0.0,508,261,76
sm,160776,59548,60338,9990,24565,1919,850,41,95,3829,519,20,99,0,96,3,88,0.0,368,491,146
sv,532807,7033,71,47760,1136,3056,3838,64,0,1597,3900,2923,14,0,58,4,73,9.0,5565,302,164
tl,185191,332,10,238,22,169,320,3275,0,68,56,8788,0,13,0,3,5,0.0,64,23,54
tm,507506,54543,9348,26092,8257,8669,1962,1094,116,1308,706,629,322,6745,478,126,221,5.0,2137,817,1068
tr,348203,53,6,366,4,378,4042,52,0,197,441,3,0,26,75,0,0,0.0,15,49,37
vl,351851,461,49,801,171,196,873,91,6,117,73,29,6,9,12,7,3,0.0,23,61,95
vn,307260,4344,9,5941,45,107,649,57,0,202,729,601,10,3,127,3,15,0.0,170,30,66
vs,356688,5069,5,4172,37,128,721,30,0,211,1759,1200,7,0,119,27,20,0.0,43,89,70
